pattern,press,vot ,vol
12,0.02,2000,0.134666667
13,0.02,3000,0.197
32,0.04,2000,0.21
23,0.03,3000,0.26
33,0.04,3000,0.314
31,0.04,1000,0.114
22,0.03,2000,0.178666667
21,0.03,1000,0.088666667
11,0.02,1000,0.057333333
