pattern,press,vot,vol
12,0.02,800,24.88448812
13,0.02,1400,43.0033
32,0.04,800,40.3960396
23,0.03,1400,56.66666634
33,0.04,1400,66.23762376
31,0.04,200,21.08910891
22,0.03,800,35.21452178
21,0.03,200,14.48844851
11,0.02,200,9.04290396
