pattern,press,vot ,vol
12,0.02,2000,0.0107
13,0.02,3000,0.016466667
32,0.04,2000,0.018066667
23,0.03,3000,0.0217
33,0.04,3000,0.026366667
31,0.04,1000,0.009666667
22,0.03,2000,0.0144
21,0.03,1000,0.007433333
11,0.02,1000,0.005733333
