pattern,press,vot,vol
12,0.02,800,21.78217822
13,0.02,1400,33.00330033
32,0.04,800,33.43234324
23,0.03,1400,42.11221122
33,0.04,1400,51.68316832
31,0.04,200,15.04950495
22,0.03,800,26.79867987
21,0.03,200,11.38613861
11,0.02,200,7.524752475
