pattern,press,vot,vol
12,0.02,2000,13.46666667
13,0.02,3000,19.7
32,0.04,2000,21
23,0.03,3000,26
33,0.04,3000,31.4
31,0.04,1000,11.4
22,0.03,2000,17.86666667
21,0.03,1000,8.866666667
11,0.02,1000,5.733333333
